subcategory,business,address,phone,confidence,source_url,notes
marine-repair,D1 Performance,2730 Sweetwater Ave (86406),(928) 302-3173,high,https://www.yelp.com/biz/d1-performance-lake-havasu-city,"The original miss; marine performance/repair, 4.8 stars (16)"
marine-repair,Lakeland Marine,1625 W Acoma Blvd,,high,https://www.lakelandmarine.net/,Mercury Marine sales/service 37+ yrs
marine-repair,Savage Marine,1575 Industrial Blvd,(928) 680-6202,high,https://www.savagemarinelakehavasu.com/,Boat repair / engine rebuilds
marine-repair,Tech One Racing,669 N Lake Havasu Ave,(928) 680-6200,high,https://www.yelp.com/biz/tech-one-racing-lake-havasu-city-3,Boat/watercraft repair (non-obvious name)
marine-repair,Hy-Tech Watercraft Repair,1601 Acoma Blvd W,(928) 235-6977,high,https://www.yelp.com/biz/hy-tech-watercraft-repair-lake-havasu-city,Jet ski/watercraft repair
marine-repair,Louis Performance Engines,1585 Industrial Blvd Ste C,(928) 680-5974,high,https://www.facebook.com/LouisPerformanceEngines/,High-performance marine motor building
marine-repair,Pro Marine Engines,2750 Sweetwater Ave,(928) 505-3966,high,https://www.facebook.com/ProMarineEngines/,Marine engine building/repair
marine-repair,Absolute Speed & Marine,1607 Industrial Blvd,(928) 855-2252,high,https://www.absolutespeedandmarinehavasu.com/,Marine performance/service + parts (also supply)
marine-repair,Patriot Marine,Lake Havasu City,,med,https://patriotmarinehavasu.com/,Boat service & repair
marine-repair,Havasu Marine Specialties,Lake Havasu City,,med,https://havasumarinespecialties.com/,Boat repair/service 30+ yrs
marine-repair,JC Marine,Lake Havasu City,,med,https://www.jcmarineinc.com/,Boat repair all makes
marine-repair,Havasu Watercraft Connections,700 N Lake Havasu Ave,,med,https://www.yelp.com/biz/havasu-watercraft-connections-lake-havasu-city,Waverunner/jet ski service
marine-repair,Barnacle Bills Boat Repairs,650 London Bridge Rd,,med,https://www.yelp.com/search?find_desc=Jet+Ski+Repair&find_loc=Lake+Havasu+City%2C+AZ,Boat repair shop
marine-dealers,The Boat Broker,1680 Industrial Blvd,,high,https://www.theboatbroker.com/,Largest LHC boat/RV dealer since 1986
marine-dealers,Anderson Powersports,1040 N Lake Havasu Ave,(928) 453-1610,high,https://www.andersonpowersportshavasu.com/,Yamaha/Sea-Doo boat dealer
marine-dealers,Horizon Motorsports,1515 Industrial Blvd,(928) 855-9555,high,https://www.horizonmotorsportsllc.com/,DCB/Playcraft/Trifecta dealer
marine-dealers,Wolf Watersports,Lake Havasu City,(928) 733-7034,med,https://www.wolfwatersports.com/,MasterCraft sales/service
marine-dealers,Total Marine Pros and Powersports,1720 W Acoma Blvd Bldg B,,med,https://www.tmppowersports.com/,Buys/sells boats/powersports
marine-dealers,Hava Style Recreation,Lake Havasu City,,med,https://www.havastylerec.com/,Boat/RV/golf-cart dealer
marine-supply,Gibbs Propeller Service,1600 Acoma Blvd W Ste 55,,med,https://www.yelp.com/search?find_desc=Prop+Shop&find_loc=Lake+Havasu+City,+AZ,Propeller sales/repair
